Name,Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Platform,Genre
Bushido Blade 2,1998.0,SquareSoft,0.25,0.17,0.22,0.04,0.68,,,,,,,15,2
Suikoden II,1998.0,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,T,15,7
Iron Man,2008.0,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T,17,0
FIFA Soccer 06,2005.0,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E,29,10
Fight Night 2004,2004.0,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,T,29,2
Tourist Trophy: The Real Riding Simulator,2006.0,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,,,,,,,16,6
.hack//Mutation Part 2,2002.0,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T,16,7
Wolfenstein: The New Order,2014.0,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,M,30,8
Cars: Mater-National Championship,2007.0,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,Rainbow Studios,E,4,6
LEGO Harry Potter: Years 1-4,2010.0,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4.0,,,TT Fusion,E10+,19,0
Midway Arcade Treasures 2,2004.0,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,,,Backbone Entertainment,M,16,3
Kirby's Dream Collection: Special Edition,2012.0,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+,26,0
Return to Castle Wolfenstein: Tides of War,2003.0,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,M,29,8
RIFT,2011.0,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T,13,7
Spider-Man 3,2007.0,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7.0,40.0,Treyarch,T,17,4
Street Sk8er,1998.0,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,,,15,10
Mass Effect,2008.0,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M,13,7
Contra: Legacy of War,1996.0,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,,15,8
Fight Night Round 2004,2004.0,Electronic Arts,0.46,0.18,0.0,0.03,0.67,,,,,,,29,2
Book of Spells,2012.0,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,,,,,,,17,0
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,2006.0,Rocket Company,0.0,0.0,0.67,0.0,0.67,,,,,,,4,3
Spice World,1998.0,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,,,15,0
The Evil Within,2014.0,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,M,30,0
Armored Core 3,2002.0,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9.0,33.0,From Software,T,16,9
Star Wars: Republic Commando,2005.0,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,T,29,8
Taiko no Tatsujin Wii,2008.0,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,,,,,,,26,3
London 2012: The Official Video Game of the Olympic Games,2012.0,Sega,0.06,0.48,0.0,0.14,0.67,,,,,,,17,10
The LEGO Movie Videogame,2014.0,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+,18,0
Turok,2008.0,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6.0,39.0,Propaganda Games,M,17,0
Wild ARMs 2,1999.0,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,,,,,,,15,7
Terraria,2013.0,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,T,28,0
Red Steel,2006.0,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T,26,8
Summer Sports: Paradise Island (Others sales),2008.0,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,,,26,10
Need for Speed: Shift 2 Unleashed,2011.0,Electronic Arts,0.2,0.35,0.0,0.12,0.67,,,,,,,17,6
The Fairly Odd Parents: Breakin Da Rules,2003.0,THQ,0.33,0.25,0.0,0.09,0.67,,,,,,,16,4
Virtua Tennis: World Tour (US & Others sales),2005.0,Sega,0.16,0.36,0.0,0.14,0.67,,,,,,,19,10
Unreal Tournament III,2007.0,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M,17,8
Adventures of Tron,1981.0,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,,,,,,0,0
Fossil Fighters: Champions,2010.0,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,"RED Entertainment, Artdink",E,4,7
The Sims 3,2010.0,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,Exient Entertainment,E,4,9
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E,6,0
Disney Tangled,2010.0,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,,,26,0
Command & Conquer: Red Alert 3,2008.0,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,,,13,11
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,2006.0,IE Institute,0.0,0.0,0.66,0.0,0.66,,,,,,,4,3
Pro Pinball: Big Race USA,1999.0,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,,,Cunning Developments,E,15,9
NFL Street,2004.0,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E,29,10
Final Fantasy Crystal Chronicles: Ring of Fates,2007.0,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.2,25.0,Square Enix,E10+,4,7
Bakugan: Battle Brawlers,2009.0,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E,26,0
Blazing Angels: Squadrons of WWII,2006.0,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T,17,9
WWE SmackDown vs. RAW 2007,2006.0,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,T,19,2
Skylanders: Trap Team,2014.0,Activision,0.26,0.3,0.0,0.11,0.66,,,7.0,5.0,Toys for Bob,E10+,17,0
F1 2015,2015.0,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E,18,6
Tony Hawk's Proving Ground,2007.0,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T,16,10
The Darkness,2007.0,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M,17,8
Country Dance,2011.0,Funbox Media,0.58,0.04,0.0,0.05,0.66,,,,,High Voltage Software,E10+,26,3
MLB 2004,2003.0,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E,16,10
Naruto Shippuden: Ultimate Ninja 4,2007.0,Atari,0.26,0.01,0.13,0.26,0.66,,,,,,,16,2
The Sims 3: High-End Loft Stuff,2010.0,Electronic Arts,0.01,0.54,0.0,0.11,0.66,,,6.5,17.0,The Sims Studio,T,13,9
Tiger Woods PGA Tour 2000,1998.0,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,,,15,10
Darkstone,2001.0,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,T,15,7
NCAA March Madness 2003,2002.0,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8.0,27.0,NuFX,E,16,10
Diablo III,2014.0,Activision,0.36,0.24,0.0,0.06,0.66,,,,,,,30,7
Finding Nemo,2003.0,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,,,Traveller's Tales,E,29,0
Thrillville,2006.0,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,Frontier Developments,E10+,16,11
Lalaloopsy,2011.0,Activision,0.51,0.1,0.0,0.06,0.66,,,,,Activision,E,4,9
Jikkyou World Soccer 2000 Final Edition,2000.0,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,,,16,10
Madagascar,2005.0,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21.0,,,Toys for Bob,E10+,7,4
Castlevania: Lords of Shadow,2010.0,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,237.0,Mercury Steam,M,28,0
Hidden Objects: Mystery Stories,2009.0,GSP,0.18,0.43,0.0,0.05,0.66,,,,,,,4,1
NHL 10,2009.0,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,E10+,28,10
100 Classic Books,2008.0,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6.0,12.0,Genius Sonority Inc.,,4,3
Puzzler Brain Games,2012.0,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,,,26,5
TV Show King Party,2008.0,Ubisoft,0.18,0.4,0.0,0.08,0.66,,,,,Gameloft,T,26,5
Dragon Quest Monsters: Caravan Heart,2003.0,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,,,6,7
Strawberry Shortcake: Summertime Adventure,2004.0,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,,,,,Gorilla Systems,E,6,1
Street Fighter Anniversary Collection,2004.0,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,Capcom,T,16,2
Legend of Legaia,1998.0,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,,,15,7
NHL 13,2012.0,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,E10+,28,10
Napoleon: Total War,2010.0,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T,13,11
Metro: Last Light,2014.0,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,,,18,0
Madden NFL 10,2009.0,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5.0,EA Tiburon,E,19,10
Rayman Legends,2013.0,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,465.0,Ubisoft Montpellier,E10+,27,4
The Sims: Bustin' Out,2003.0,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9.0,15.0,Maxis,T,7,9
BioShock Infinite,2013.0,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,M,13,8
Keystone Kapers,1982.0,Activision,0.62,0.04,0.0,0.01,0.66,,,,,,,0,0
Ratatouille,2007.0,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7.0,7.1,7.0,Locomotive Games,E,19,0
Lollipop Chainsaw,2012.0,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,M,17,0
Tom Clancy's EndWar,2008.0,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T,17,11
Shrek: Hassle at the Castle,2002.0,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7.0,7.4,5.0,TOSE,E,6,0
Suikoden IV,2004.0,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.3,47.0,KCET,T,16,7
Gods Eater Burst,2010.0,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,"Shift, Bandai Namco Games",T,19,0
Fist of the North Star: Ken's Rage,2010.0,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",M,17,0
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,0.22,0.32,0.01,0.11,0.66,,,7.8,24.0,PopCap,E10+,17,8
Disney's Kim Possible 2: Drakken's Demise,2004.0,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,77.0,8.0,,,Artificial Mind and Movement,E,6,4
One Piece: Pirate Warriors 2,2013.0,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,T,17,0
Um Jammer Lammy,1998.0,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66,,,,,,,15,3
Brothers In Arms: Road to Hill 30,2005.0,Ubisoft,0.49,0.14,0.0,0.02,0.66,88.0,64.0,8.0,69.0,Gearbox Software,M,29,8
LEGO Harry Potter: Years 5-7,,Warner Bros. Interactive Entertainment,0.34,0.25,0.0,0.07,0.66,69.0,4.0,,,Traveller's Tales,E10+,4,0
Taiko no Tatsujin DS: Touch de Dokodon!,2007.0,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,,,4,3
Animaniacs Ten Pin Alley,1998.0,ASC Games,0.36,0.25,0.0,0.04,0.66,,,,,,,15,10
LEGO Jurassic World,2015.0,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,17.0,6.7,44.0,TT Games,E10+,30,0
Kung Fu Panda,2008.0,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,Xpec,E10+,16,0
Freedom Wars,2014.0,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,39.0,8.3,265.0,"Dimps Corporation, SCE Japan Studio",T,20,7
Rocksmith 2014,2013.0,Ubisoft,0.36,0.24,0.0,0.06,0.65,,,,,,,13,3
Club Penguin: Elite Penguin Force - Herbert's Revenge,2010.0,Disney Interactive Studios,0.39,0.21,0.0,0.06,0.65,,,,,,,4,1
Ratchet & Clank: Into the Nexus,2013.0,Sony Computer Entertainment,0.3,0.25,0.0,0.1,0.65,,,,,,,17,8
Shaun White Snowboarding,2008.0,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30.0,6.3,26.0,Ubisoft Montreal,T,17,10
Radiata Stories,2005.0,Square Enix,0.18,0.14,0.29,0.05,0.65,74.0,36.0,9.0,54.0,Tri-Ace,T,16,7
The Biggest Loser: Challenge,2010.0,THQ,0.48,0.12,0.0,0.05,0.65,,,,,Blitz Games Studios,E,26,10
Peppa Pig: Fun and Games,2010.0,Ubisoft,0.0,0.57,0.0,0.09,0.65,,,,,,,4,3
F-Zero GX,2003.0,Nintendo,0.41,0.11,0.12,0.02,0.65,89.0,50.0,8.5,161.0,Amusement Vision,T,7,6
Disney's Chicken Little,2005.0,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60.0,20.0,8.9,7.0,Avalanche Software,E10+,16,4
Scene It? Box Office Smash,2008.0,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.65,76.0,32.0,7.4,25.0,"Krome Studios, Screenlife Games",T,28,3
Yoshi Topsy-Turvy,2004.0,Nintendo,0.25,0.09,0.3,0.01,0.65,60.0,23.0,6.6,5.0,Artoon,E,6,4
Monster Jam: Maximum Destruction,2002.0,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11.0,6.0,6.0,Ubisoft,T,16,6
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,2005.0,THQ,0.47,0.17,0.0,0.01,0.65,,,,,,,6,3
Tiger Woods PGA Tour 09,2008.0,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34.0,7.2,9.0,EA Tiburon,E,17,10
World of Dragon Warrior - Torneko: The Last Hope,1999.0,Enix Corporation,0.02,0.01,0.58,0.04,0.65,,,,,,,15,7
Mortal Kombat,2012.0,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,0.65,85.0,51.0,7.8,192.0,NetherRealm Studios,M,20,2
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,Activision,0.23,0.26,0.0,0.16,0.65,,,,,,,19,0
Tiger Woods PGA Tour 09,2008.0,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41.0,7.8,29.0,EA Tiburon,E,28,10
Advance Wars 2: Black Hole Rising,2003.0,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34.0,9.4,97.0,Intelligent Systems,E,6,11
Wario: Master of Disguise,2007.0,Nintendo,0.28,0.02,0.33,0.03,0.65,60.0,35.0,7.4,19.0,Suzak,E10+,4,4
Centipede,1998.0,Atari,0.36,0.25,0.0,0.04,0.65,,,,,,,15,8
The Last Story,2011.0,Nintendo,0.3,0.13,0.18,0.04,0.65,80.0,61.0,8.4,179.0,"Mistwalker, Artoon",T,26,7
Drakengard,2003.0,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55.0,9.1,88.0,Cavia Inc.,M,16,7
SingStar Pop Hits,2007.0,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,,,,,,,16,3
Kung-Fu Master,1987.0,Activision,0.6,0.04,0.0,0.01,0.65,,,,,,,0,0
Champions: Return to Arms,2005.0,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48.0,8.8,43.0,Snowblind Studios,T,16,7
Harry Potter and the Goblet of Fire,2005.0,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29.0,6.7,48.0,Electronic Arts,E10+,16,0
Toy Story 3: The Video Game,2010.0,Disney Interactive Studios,0.27,0.24,0.0,0.14,0.65,,,,,,,19,0
SingStar R&B,2007.0,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65,,,,,,,16,3
Mary-Kate and Ashley: Magical Mystery Mall,2000.0,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65,,,,,,,15,1
MX vs. ATV Untamed,2007.0,THQ,0.35,0.18,0.0,0.12,0.65,59.0,12.0,,,Rainbow Studios,E,19,6
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Disney Interactive Studios,0.37,0.22,0.0,0.06,0.65,,,,,,,27,0
Tiger Woods PGA Tour 10,2009.0,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51.0,6.9,20.0,EA Tiburon,E,28,10
007: Quantum of Solace,2008.0,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,Treyarch,T,26,0
Super Robot Taisen Impact,2002.0,Banpresto,0.0,0.0,0.65,0.0,0.65,,,,,,,16,11
Wall-E,2008.0,THQ,0.29,0.22,0.0,0.14,0.65,64.0,8.0,,,Heavy Iron Studios,E,19,4
Farming Simulator 17,2016.0,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,5.0,8.0,20.0,Giants Software,E,13,9
Crafting Mama,2010.0,505 Games,0.39,0.19,0.01,0.05,0.65,,,,,Cooking Mama Limited,E,4,9
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,2008.0,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65,,,,,,,4,3
God of War III,2015.0,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,,,18,0
Borderlands 2,2014.0,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,31.0,7.6,358.0,Iron Galaxy Studios,M,20,8
Harry Potter and the Half-Blood Prince,2009.0,Electronic Arts,0.13,0.07,0.0,0.44,0.64,,,8.3,13.0,EA Bright Light,E10+,16,0
Crash Bandicoot Purple: Ripto's Rampage,2004.0,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,23.0,6.6,12.0,Vicarious Visions,E,6,4
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10.0,7.7,1470.0,Ubisoft,M,13,0
Need For Speed: Undercover,2008.0,Electronic Arts,0.27,0.31,0.0,0.07,0.64,54.0,12.0,6.2,29.0,Exient Entertainment,T,26,6
Spyro: A Hero's Tail,2004.0,Vivendi Games,0.32,0.25,0.0,0.08,0.64,60.0,16.0,8.0,44.0,Eurocom Entertainment Software,E,16,4
Crash: Twinsanity,2004.0,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,38.0,8.0,129.0,Traveller's Tales,E,16,4
The LEGO Movie Videogame,2014.0,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,5.0,7.7,25.0,TT Games,E10+,27,0
Max Payne 2: The Fall of Max Payne,2003.0,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64,84.0,34.0,8.4,49.0,Remedy Entertainment,M,29,8
Metal Gear Solid V: The Phantom Pain,2015.0,Konami Digital Entertainment,0.22,0.13,0.22,0.07,0.64,,,7.2,168.0,"Kojima Productions, Moby Dick Studio",M,17,0
Drawn to Life: The Next Chapter,2009.0,THQ,0.44,0.14,0.0,0.06,0.64,72.0,21.0,7.7,22.0,5TH Cell,E,4,5
GoldenEye: Rogue Agent,2004.0,Electronic Arts,0.54,0.02,0.0,0.09,0.64,60.0,38.0,7.0,32.0,EA LA,T,16,8
WWE 2K15,2014.0,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,5.0,4.0,65.0,Yuke's,T,28,10
Paws & Claws: Pet Vet,2007.0,THQ,0.59,0.0,0.0,0.05,0.64,,,,,,,4,9
Star Ocean: First Departure,2007.0,Square Enix,0.2,0.13,0.22,0.09,0.64,74.0,32.0,7.4,28.0,TOSE,T,19,7
James Bond 007: Everything or Nothing,2004.0,Electronic Arts,0.43,0.19,0.0,0.02,0.64,83.0,51.0,7.4,27.0,EA Redwood Shores,T,29,8
X2: Wolverine's Revenge,2003.0,Activision,0.31,0.24,0.0,0.08,0.64,58.0,24.0,7.2,13.0,GenePool,T,16,4
NBA Live 06,2005.0,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,30.0,6.4,15.0,EA Canada,E,29,10
Tom Clancy's Rainbow Six,1999.0,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,,,,,,,10,8
Castlevania,1999.0,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64,,,,,,,10,4
Rayman 2: The Great Escape,1999.0,Ubisoft,0.4,0.22,0.0,0.02,0.64,,,,,,,10,4
Nicktoons Collection: Game Boy Advance Video Volume 1,2004.0,,0.46,0.17,0.0,0.01,0.64,,,,,,,6,3
Rayman 3D,2011.0,Ubisoft,0.23,0.35,0.0,0.06,0.64,61.0,39.0,6.6,48.0,Ubisoft Casablanca,E,2,4
Football Manager 2014,2013.0,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,275.0,Sports Interactive,E,13,10
New Play Control! Pikmin,2008.0,Nintendo,0.28,0.12,0.19,0.04,0.64,,,,,,,26,11
TimeSplitters 2,2002.0,Eidos Interactive,0.29,0.33,0.0,0.01,0.64,88.0,20.0,7.7,34.0,Free Radical Design,T,29,8
Onimusha: Dawn of Dreams,2006.0,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.9,62.0,Capcom,M,16,0
Sengoku Basara: Samurai Heroes,2010.0,Capcom,0.17,0.04,0.4,0.02,0.64,61.0,37.0,7.9,29.0,Capcom,T,17,0
Stuntman: Ignition,2007.0,THQ,0.25,0.31,0.0,0.07,0.64,75.0,38.0,7.3,31.0,Paradigm Entertainment,T,28,6
Real Heroes: Firefighter,2009.0,Rondomedia,0.56,0.04,0.0,0.05,0.64,67.0,18.0,8.2,10.0,Epicenter Studios,E10+,26,0
Dishonored 2,2016.0,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,56.0,7.7,569.0,Arkane Studios,M,18,0
Up,2009.0,THQ,0.3,0.27,0.0,0.07,0.64,,,,,Altron,E,4,0
SpongeBob SquarePants: Game Boy Advance Video Volume 1,2004.0,,0.46,0.17,0.0,0.01,0.64,,,,,,,6,3
Konami Collector's Series: Arcade Advanced,2002.0,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78.0,10.0,,,KCEA,E,6,3
The Crew,2014.0,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,18.0,5.9,176.0,"Ubisoft Reflections, Ivory Tower",T,30,6
Dragon Ball: Raging Blast 2,2010.0,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,57.0,33.0,7.4,30.0,Spike,T,28,2
Jampack Volume 13 (RP-T),2005.0,Sony Computer Entertainment,0.31,0.24,0.0,0.08,0.64,,,,,,,16,3
Madden NFL 2001,2000.0,Electronic Arts,0.6,0.03,0.0,0.01,0.64,,,,,,,10,10
Cruis'n World,1998.0,Nintendo,0.59,0.04,0.0,0.01,0.64,,,,,,,10,6
NHL 13,2012.0,Electronic Arts,0.33,0.21,0.0,0.09,0.64,84.0,22.0,6.8,60.0,Electronic Arts,E10+,17,10
Dead or Alive 5,2012.0,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,7.7,109.0,Team Ninja,M,17,2
Evolve,2015.0,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,31.0,5.1,336.0,Turtle Rock Studios,M,30,8
Lemony Snicket's A Series of Unfortunate Events,2004.0,Activision,0.31,0.24,0.0,0.08,0.64,63.0,25.0,5.7,12.0,Adrenium,E,16,4
Lost Planet: Extreme Condition,2008.0,Capcom,0.31,0.17,0.07,0.08,0.64,67.0,34.0,7.0,36.0,Capcom,T,17,8
X-Men Legends II: Rise of Apocalypse,2005.0,Activision,0.53,0.02,0.0,0.09,0.63,82.0,44.0,7.3,41.0,Raven Software,T,16,7
Nightmare Creatures,1997.0,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.63,,,,,,,15,0
LittleBigPlanet 3,2014.0,Sony Computer Entertainment,0.2,0.33,0.01,0.1,0.63,,,7.2,64.0,Sumo Digital,E,17,4
SingStar Queen,2009.0,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63,73.0,9.0,,,SCEE London Studio,T,16,3
LEGO Star Wars II: The Original Trilogy,2006.0,LucasArts,0.55,0.03,0.0,0.05,0.63,81.0,50.0,8.0,45.0,Traveller's Tales,E10+,28,0
Disney Sing It: Party Hits,2010.0,Disney Interactive Studios,0.48,0.1,0.0,0.04,0.63,,,,,Disney Interactive Studios,E,26,3
Dragon Quest Monsters Joker 3,2016.0,Square Enix,0.0,0.0,0.63,0.0,0.63,,,,,,,2,7
Rock Band 3,2010.0,MTV Games,0.53,0.06,0.0,0.04,0.63,91.0,10.0,6.9,36.0,Backbone Entertainment,T,26,3
Dragon Age II,2011.0,Electronic Arts,0.23,0.33,0.0,0.08,0.63,82.0,45.0,4.5,4533.0,BioWare,M,13,0
Tony Hawk's Pro Skater 2x,2001.0,Activision,0.41,0.19,0.0,0.03,0.63,78.0,24.0,8.8,5.0,Treyarch,T,29,10
NBA Live 08,2007.0,Electronic Arts,0.56,0.02,0.01,0.05,0.63,73.0,28.0,6.8,10.0,EA Canada,E,17,10
Sim Theme Park,1999.0,Electronic Arts,0.35,0.24,0.0,0.04,0.63,,,,,,,15,11
FIFA Soccer 2003,2002.0,Electronic Arts,0.2,0.4,0.0,0.04,0.63,88.0,11.0,7.7,11.0,EA Canada,E,29,10
